Date,Open_samsung,High_samsung,Low_samsung,Close_samsung,Volume_samsung,Change_samsung,Open_lg,High_lg,Low_lg,Close_lg,Volume_lg,Change_lg
2015-08-10,22800,22840,22600,22820,114450,0.004401408450704247,40700,40750,39700,40300,761267,-0.008610086100861003
2015-08-11,23020,23580,22960,23140,233286,0.014022787028922012,40650,40750,39950,40000,679248,-0.007444168734491274
2015-08-12,23000,23280,22800,23080,223080,-0.002592912705272288,39600,41200,39600,40350,807710,0.008750000000000036
2015-08-13,23060,23060,22760,22800,150411,-0.012131715771230511,40550,41300,40250,40900,575165,0.013630731102850069
2015-08-17,22800,22820,22080,22080,227217,-0.03157894736842104,41100,41200,40300,40300,441394,-0.014669926650366705
2015-08-18,22360,22820,22340,22620,231672,0.024456521739130377,40350,41400,40300,41350,685759,0.026054590570719682
2015-08-19,23380,23520,22820,23080,401415,0.020335985853227267,41150,41350,40050,40450,927262,-0.021765417170495738
2015-08-20,23260,23420,22600,22780,216119,-0.012998266897746968,40250,41000,40250,40450,582590,0.0
2015-08-21,21980,22560,21920,22020,408851,-0.03336259877085157,39350,40150,39300,39800,1047950,-0.01606922126081578
2015-08-24,21760,22300,20660,21580,448592,-0.019981834695731115,39500,41450,39500,40150,1284327,0.008793969849246297
2015-08-25,21580,22140,21340,21580,392519,0.0,40600,41400,39850,40850,1220319,0.01743462017434627
2015-08-26,21360,21480,21000,21340,558952,-0.011121408711770142,41500,43550,41500,43450,2251863,0.06364749082007348
2015-08-27,21640,21720,21260,21340,495388,0.0,44400,44650,43250,43300,1359490,-0.0034522439585730202
2015-08-28,21720,21720,21460,21620,462223,0.013120899718837897,43800,44500,43750,44100,1059845,0.018475750577367167
2015-08-31,21420,21780,21040,21780,408309,0.007400555041628065,44350,44900,43500,44500,897313,0.009070294784580435
2015-09-01,21780,21960,21620,21700,240372,-0.0036730945821854544,44400,44400,43350,43350,744504,-0.025842696629213457
2015-09-02,21380,21900,21300,21800,312683,0.004608294930875667,42700,44050,42600,44050,626566,0.016147635524798254
2015-09-03,22040,22460,21860,22440,305142,0.029357798165137616,44350,44600,44000,44500,712693,0.010215664018161208
2015-09-04,22880,22880,22360,22580,251734,0.00623885918003575,44500,44600,43100,43500,807450,-0.022471910112359605
2015-09-07,22580,22580,22100,22240,191805,-0.015057573073516406,43450,43600,42800,43200,428716,-0.006896551724137945
2015-09-08,22260,22720,22120,22620,182330,0.017086330935251803,43550,46400,42900,46100,2265288,0.06712962962962954
2015-09-09,22920,22940,22720,22940,259376,0.014146772767462457,47000,47500,46050,47000,1602843,0.01952277657266821
2015-09-10,22600,22780,22360,22680,362568,-0.011333914559720992,46150,46800,45600,46250,1191751,-0.015957446808510634
2015-09-11,22520,22660,22300,22300,204167,-0.01675485008818345,46500,47300,46400,47050,913807,0.017297297297297343
2015-09-14,22400,22480,22200,22480,167073,0.008071748878923701,47250,47300,45350,45400,796472,-0.03506907545164717
2015-09-15,22280,22560,22260,22460,232956,-0.000889679715302516,45800,46250,45200,45900,533973,0.011013215859030812
2015-09-16,22420,23140,22420,23040,343763,0.02582368655387346,46250,47000,45800,47000,769688,0.023965141612200425
2015-09-17,23060,23140,22880,23140,273960,0.004340277777777679,47300,47500,46650,46900,563986,-0.0021276595744680327
2015-09-18,22900,23840,22700,23800,436270,0.028522039757994833,47050,47250,46450,47200,604337,0.006396588486140775
2015-09-21,23260,23460,23000,23000,205359,-0.03361344537815125,46500,47000,46350,46400,337350,-0.016949152542372836
2015-09-22,22860,23000,22600,22900,250675,-0.004347826086956497,46400,46550,45250,46050,646608,-0.007543103448275912
2015-09-23,22880,22880,22500,22620,197649,-0.012227074235807822,45600,45800,44750,44750,704343,-0.028230184581976125
2015-09-24,22520,22700,22500,22520,132721,-0.004420866489831976,44600,45100,43950,44300,631696,-0.010055865921787754
2015-09-25,22400,22500,22180,22240,209160,-0.01243339253996445,44200,44850,43900,44800,418976,0.011286681715575675
2015-09-30,22000,22680,21800,22680,458936,0.019784172661870603,43950,45650,43950,45650,585511,0.01897321428571419
2015-10-01,22800,22900,22420,22680,241041,0.0,45700,45800,45100,45650,388121,0.0
2015-10-02,22240,22660,22240,22380,274302,-0.013227513227513255,46150,46450,45000,45000,504825,-0.014238773274917849
2015-10-05,22380,22620,22300,22300,241935,-0.00357462019660415,45450,45500,44400,44550,505037,-0.010000000000000009
2015-10-06,22600,23100,22540,23020,382987,0.03228699551569503,44850,45100,44500,44800,344629,0.0056116722783390305
2015-10-07,23960,25040,23720,25020,799502,0.08688097306689846,44800,46300,44250,46300,792120,0.033482142857142794
2015-10-08,25000,25580,25000,25400,570677,0.0151878497202238,46800,47100,46150,47000,707904,0.015118790496760237
2015-10-12,25200,25260,24940,25200,378974,-0.007874015748031482,47400,47450,46550,47150,723164,0.0031914893617022155
